geneSymbol,log2FC,p_value,FDR,type,young_promoter_methylation,young_CpG_count,aged_promoter_methylation,aged_CpG_count,promoter_methylation_change,multiomics_pattern
Wwtr1,1.7784341320653656,4.165936521603408e-06,0.0012521427472649,UP,0.06127027027027028,37.0,0.09090909090909091,44,0.02963882063882063,RNA_UP_METHYLATION_UP
Rrm2,-0.5201636802780394,4.147102704240037e-06,0.0012521427472649,DN,0.08764814814814816,54.0,0.08333333333333333,69,-0.004314814814814827,RNA_DOWN_METHYLATION_DOWN
Slc22a3,-0.8810632712017483,4.127366252536862e-06,0.0012521427472649,DN,0.6689600000000001,25.0,0.841,29,0.17203999999999986,RNA_DOWN_METHYLATION_UP
Cldn5,3.095104575595821,4.234783521185088e-06,0.0012628918482084,UP,0.708344827586207,29.0,0.8556785714285714,28,0.14733374384236442,RNA_UP_METHYLATION_UP
Carhsp1,-0.4745826783697291,4.382208140547747e-06,0.0012967259623332,DN,0.3649473684210526,19.0,0.22251515151515153,33,-0.14243221690590105,RNA_DOWN_METHYLATION_DOWN
Fut1,0.6058880198446737,4.470678162924724e-06,0.0013127286679627,UP,0.5661612903225807,31.0,0.5277999999999999,30,-0.03836129032258073,RNA_UP_METHYLATION_DOWN
Lancl3,0.8737508577298749,4.551735044594451e-06,0.0013263269474981,UP,0.4,10.0,0.045454545454545456,22,-0.35454545454545455,RNA_UP_METHYLATION_DOWN
Kcnn2,0.3992115463638327,4.641332853125169e-06,0.0013421890732537,UP,0.0,56.0,0.012195121951219513,82,0.012195121951219513,RNA_UP_METHYLATION_UP
Smoc1,0.568520906600892,4.786359527944765e-06,0.0013737211721857,UP,0.6843333333333332,33.0,0.8202121212121212,33,0.13587878787878793,RNA_UP_METHYLATION_UP
Rorb,2.7946102524108634,4.9059607426478856e-06,0.0013803657304086,UP,0.1846756756756757,37.0,0.12627272727272726,33,-0.058402948402948435,RNA_UP_METHYLATION_DOWN
C1qc,-0.8277073768658445,4.940744032829455e-06,0.0013803657304086,DN,0.39333333333333337,15.0,0.5,12,0.10666666666666663,RNA_DOWN_METHYLATION_UP
Cd5l,-1.0869688308393004,5.050527340210466e-06,0.0013803657304086,DN,0.8611111111111112,9.0,1.0,15,0.13888888888888884,RNA_DOWN_METHYLATION_UP
Prkd1,1.057020494804473,5.062642833941568e-06,0.0013803657304086,UP,0.7571,10.0,0.6361666666666667,12,-0.12093333333333334,RNA_UP_METHYLATION_DOWN
Ccdc92,1.3879822876848558,4.965270786454916e-06,0.0013803657304086,UP,0.10190804597701149,87.0,0.09090909090909091,77,-0.010998955067920577,RNA_UP_METHYLATION_DOWN
Rcvrn,1.8793481617469805,5.000840917691558e-06,0.0013803657304086,UP,1.0,12.0,0.8718461538461538,13,-0.12815384615384617,RNA_UP_METHYLATION_DOWN
Tmem132b,1.5344120198860982,4.901507948265631e-06,0.0013803657304086,UP,0.27906976744186046,43.0,0.27102,50,-0.008049767441860478,RNA_UP_METHYLATION_DOWN
Eid2,0.5651406619209824,5.150771605545666e-06,0.0013944344235949,UP,0.9,20.0,0.4254565217391304,46,-0.4745434782608696,RNA_UP_METHYLATION_DOWN
Socs2,-1.3246156730633158,5.256103579354763e-06,0.001412929477684,DN,0.20833333333333334,36.0,0.09506818181818182,44,-0.11326515151515153,RNA_DOWN_METHYLATION_DOWN
C7,1.2227959720352823,5.384936442023628e-06,0.0014274569018397,UP,0.9722222222222222,9.0,0.7576363636363636,11,-0.21458585858585866,RNA_UP_METHYLATION_DOWN
Sec14l1,0.5774077618252473,5.352456014663664e-06,0.0014274569018397,UP,0.23113207547169812,53.0,0.2245098039215686,51,-0.00662227155012951,RNA_UP_METHYLATION_DOWN
Gm106,3.4561796946368912,5.447727809750058e-06,0.0014341425238191,UP,0.26665714285714287,35.0,0.2125,40,-0.054157142857142876,RNA_UP_METHYLATION_DOWN
HAG_008121,1.1022039724533397,5.663645015551213e-06,0.0014663301678779,UP,0.7727272727272727,22.0,0.6964285714285714,14,-0.07629870129870131,RNA_UP_METHYLATION_DOWN
"Mir702,Plod3",0.2142188781106737,5.685236949751965e-06,0.0014663301678779,UP,0.5857142857142857,35.0,0.35760416666666667,48,-0.22811011904761908,RNA_UP_METHYLATION_DOWN
Dusp18,0.5382864860835239,5.684846946546175e-06,0.0014663301678779,UP,0.32924489795918366,49.0,0.315,40,-0.014244897959183656,RNA_UP_METHYLATION_DOWN
Hnf4a,-1.4473229280987203,5.955532968897963e-06,0.0015189134537788,DN,0.9073888888888888,18.0,0.9916499999999999,20,0.08426111111111112,RNA_DOWN_METHYLATION_UP
Samsn1,0.3669711301961236,5.968694804223843e-06,0.0015189134537788,UP,0.6190714285714286,14.0,0.7708125,16,0.1517410714285714,RNA_UP_METHYLATION_UP
Shisa7,1.8296508708155512,6.044456292744597e-06,0.0015280065271963,UP,0.49008108108108117,37.0,0.5528064516129032,31,0.06272537053182203,RNA_UP_METHYLATION_UP
4732418C07Rik,0.3143734535536246,6.0978682027622536e-06,0.0015313672699726,UP,0.4087222222222222,18.0,0.2661764705882353,34,-0.14254575163398692,RNA_UP_METHYLATION_DOWN
